OBJECTID,DescSeg,TipoPNV,CODIGO
4810,ENTR. GO-060 (ISRAELÂNDIA) - ENTR. GO-326 (A) (JAUPACI),Pavimentada,173EGO0010
4811,ENTR. GO-418 - ENTR. GO-173 (ISRAELÂNDIA),Pavimentada,060EGO0190
4812,ENTR. GO-164 (B) (SÃO LUIZ DE MONTES BELOS) - ENTR. GO-417,Pavimentada,060EGO0150
4813,ENTR. GO-164 (A) (FIRMIN?POLIS) - ENTR. GO-164 (B) (SÃO LUIZ DE MONTES BELOS),Pavimentada,060EGO0130
4814,MOIPORA - ENTR. GO-060,Pavimentada,444EGO0050
4815,ENTR. BR-060 - ENTR. GO-545 (CEZARINA),Pavimentada,156EGO0010
4816,,Pavimentada,545BGO0010
4817,ENTR. GO-545 (CEZARINA) - ENTR. GO-050(A),Pavimentada,156EGO0030
4818,ENTR. GO-156(A) - ENTR. GO-408 (PALMEIRAS DE GOIAS),Pavimentada,050EGO0090
4819,ENTR. GO-164(A)/445 (S?O JOAO DA PARAUNA) - ENTR. GO-320(A),Pavimentada,050EGO0170
4820,ENTR. GO-320(A) - ENTR. GO-164(B)/320(B)/411(A) (PARAUNA),Pavimentada,050EGO0190
4821,ENTR. GO-320 - PALMEUNA,Pavimentada,408EGO0010
4822,ENTR. GO-156 (B)/326 (A) (ANICUNS) - ENTR. GO-326 (B),Pavimentada,222EGO0210
4823,ENTR. GO-222 (B) - ENTR. GO-164 (SANCLERLÂNDIA),Pavimentada,326EGO0060
4824,,Pavimentada,164EGO0400
4825,BURITI DE GOIÁS - ENTR. GO-518,Pavimentada,326EGO0080
4826,ENTR. GO-326 (B) - ADELANDIA,Pavimentada,222EGO0230
4827,ENTR. GO-326 (SACLERLANDIA) - MOSSAMEDES,Pavimentada,164EGO0490
4828,ENTR. GO-070(B) - TAQUARAL DE GOIAS,Pavimentada,154EGO0110
4829,GO-154 - TAQUARAL DE GOIAS,,AC4829
4830,ENTR. GO-154 (A) (ITUA?U) - ENTR. GO-154 (B) (P/TAQUARAL DE GOIÁS),Pavimentada,070EGO0110
4831,ENTR. GO-222 (B) (INHUMAS) - ENTR. GO-154 (A) (ITUA?U),Pavimentada,070EGO0090
4832,ENTR. GO-070(B) - ENTR. GO-523 (P/CATURAI),Pavimentada,222EGO0130
4833,TAQUARAL DE GOIAS - ENTR. GO-330,Pavimentada,154EGO0130
4834,ENTR. GO-426 (SANTA ROSA DE GOIAS) - ENTR. GO-154,Implantada,330EGO0450
4835,ENTR. GO-444 - ENTR. GO-411(B),Em obras de pavimentação,050EGO0200
4836,,Leito Natural,411EGO0030
4837,CACHOEIRA DE GOIAS - ENTR. GO-444 (IVOLANDIA),Implantada,320EGO0250
4838,ENTR. GO-408 - ENTR. GO-050(A)/164(A)/411 (PARAUNA),Pavimentada,320EGO0190
4839,ENTR. GO-407 - CACHOEIRA DE GOIAS,Pavimentada,320EGO0240
4840,ENTR. GO-050/164 (S?O JOAO DO PARAUNA) - ENTR. GO-417 (AURILANDIA),Leito Natural,445EGO0010
4841,ENTR. GO-162 (PAMINOPOLIS) - ENTR. GO-164(A)/445 (S?O JOAO DA PARAUNA),Leito Natural,050EGO0150
4842,ENTR. GO-050 (PALMINOPOLIS - ENTR. GO-060 (TURVANIA),Pavimentada,162EGO0070
4843,ENTR.GO-320/333 (JANDAIA) - ENTR. GO-408,Pavimentada,162EGO0030
4844,PALMEUNA - ENTR. GO-162,Pavimentada,408EGO0020
4845,ENTR. GO-162 - ENTR. GO-156 (PALMEIRAS DE GOIAS),Pavimentada,408EGO0030
4846,ENTR. GO-408 (PALMEIRAS DE GOIAS) - ENTR. GO-156(B),Pavimentada,050EGO0110
4847,ENTR. GO-050(B) - ENTR. GO-060(A) (NAZARIO),Pavimentada,156EGO0090
4848,ENTR. GO-417 - ENTR. GO-444,Pavimentada,060EGO0170
4849,ENTR. GO-320 - ENTR. GO-445 (AURILANDIA),Pavimentada,417EGO0010
4850,ENTR. GO-445 (AURILANDIA) - ENTR. GO-060 (P/S?O LUIZ MONTES BELOS),Pavimentada,417EGO0030
4851,ENTR. GO-154 - ENTR. GO-156(A),Em obras de pavimentação,050EGO0080
4852,ENTR. GO-060 (B)/469 (TRINDADE) - ENTR. GO-219,Pavimentada,050EGO0030
4853,ENTR. GO-219 - CAMPESTRE DE GOIAS,Pavimentada,050EGO0050
4854,ENTR. GO-154/441 (SANTA BÁRBARA DE GOIÁS) - ENTR. GO-326 (CLAUDINÁPOLIS),Pavimentada,060EGO0050
4855,ENTR. GO-164(B) - DIV. GO/MT (LANDI),Leito Natural,336EGO0090
4856,DIV. GO/MT - ENTR. GO-173(A),Leito Natural,347EGO0010
4857,MOZARLANDIA - ENTR. GO-164,Pavimentada,347EGO0070
4858,ENTR. GO-156 - ENTR. GO-164,Leito Natural,334EGO0070
4859,ENTR. GO-347(A) - ENTR. GO 336/347(B) (CRIXAS),Leito Natural,156EGO0370
4860,ENTR. GO-154(B) - ENTR. GO-439 (P/GUARINOS),Leito Natural,336EGO0050
